Day,Daily Total,Estimated Read,Unit of Measurement
11/17/2024,2.02,No,CCF
11/18/2024,1.8,No,CCF
11/19/2024,1.1,No,CCF
11/20/2024,2.72,No,CCF
11/21/2024,3.91,Yes,CCF
11/22/2024,3.91,Yes,CCF
11/23/2024,3.04,Yes,CCF
11/24/2024,3.04,Yes,CCF
11/25/2024,3.04,Yes,CCF
11/26/2024,3.9867,Yes,CCF
11/27/2024,3.9867,Yes,CCF
11/28/2024,3.9867,Yes,CCF
11/29/2024,0.18,No,CCF
11/30/2024,12.86,No,CCF
12/01/2024,6.44,No,CCF
12/02/2024,6.2,No,CCF
12/03/2024,5.6,No,CCF
12/04/2024,5.8,No,CCF
12/05/2024,6.58,No,CCF
12/06/2024,6.8,No,CCF
12/07/2024,4.98,Yes,CCF
12/08/2024,4.98,Yes,CCF
12/09/2024,3.92,No,CCF
12/10/2024,3.8,No,CCF
12/11/2024,5.6,No,CCF
12/12/2024,8.58,No,CCF
12/13/2024,8.94,No,CCF
12/14/2024,7.1,No,CCF
12/15/2024,5.02,No,CCF
12/16/2024,2.82,No,CCF
12/17/2024,4.38,No,CCF
12/18/2024,5.04,No,CCF
12/19/2024,5.7,No,CCF
12/20/2024,5.92,No,CCF
12/21/2024,7.5,No,CCF
12/22/2024,8.42,No,CCF
12/23/2024,5.64,Yes,CCF
12/24/2024,5.64,Yes,CCF
12/25/2024,5.64,Yes,CCF
12/26/2024,4.32,No,CCF
12/27/2024,3.98,No,CCF
12/28/2024,2.52,No,CCF
12/29/2024,4.3467,Yes,CCF
12/30/2024,4.3467,Yes,CCF
12/31/2024,4.3467,Yes,CCF
01/01/2025,5.52,No,CCF
01/02/2025,6.62,No,CCF
01/03/2025,6.8,No,CCF
01/04/2025,7.875,Yes,CCF
01/05/2025,7.875,Yes,CCF
01/06/2025,7.875,Yes,CCF
01/07/2025,7.875,Yes,CCF
01/08/2025,7.62,No,CCF
01/09/2025,7.045,Yes,CCF
01/10/2025,7.045,Yes,CCF
01/11/2025,7.045,Yes,CCF
01/12/2025,7.045,Yes,CCF
01/13/2025,7.04,No,CCF
01/14/2025,8.46,Yes,CCF
01/15/2025,8.46,Yes,CCF
01/16/2025,7.04,No,CCF
01/17/2025,5.37,Yes,CCF
01/18/2025,5.37,Yes,CCF
01/19/2025,9.5,Yes,CCF
01/20/2025,9.5,Yes,CCF
01/21/2025,11.42,No,CCF
01/22/2025,11.36,No,CCF
01/23/2025,8.14,No,CCF
01/24/2025,7.44,Yes,CCF
01/25/2025,7.44,Yes,CCF
01/26/2025,7.44,Yes,CCF
01/27/2025,5.62,Yes,CCF
01/28/2025,5.62,Yes,CCF
01/29/2025,4.97,Yes,CCF
01/30/2025,4.97,Yes,CCF
01/31/2025,4.5,No,CCF
02/01/2025,6.56,No,CCF
02/02/2025,6.84,No,CCF
02/03/2025,5.955,Yes,CCF
02/04/2025,5.955,Yes,CCF
02/05/2025,5.955,Yes,CCF
02/06/2025,5.955,Yes,CCF
02/07/2025,7.72,No,CCF
02/08/2025,7.3,No,CCF
02/09/2025,6.8,No,CCF
02/10/2025,7.46,No,CCF
02/11/2025,6.78,No,CCF
02/12/2025,6.74,Yes,CCF
02/13/2025,6.74,Yes,CCF
02/14/2025,8.16,No,CCF
02/15/2025,6.36,No,CCF
02/16/2025,6.58,No,CCF
02/17/2025,8.08,No,CCF
02/18/2025,9.18,Yes,CCF
02/19/2025,9.18,Yes,CCF
02/20/2025,9.18,Yes,CCF
02/21/2025,6.3667,Yes,CCF
02/22/2025,6.3667,Yes,CCF
02/23/2025,6.3667,Yes,CCF
02/24/2025,3.88,No,CCF
02/25/2025,3.18,No,CCF
02/26/2025,4.94,No,CCF
02/27/2025,4.88,Yes,CCF
02/28/2025,4.88,Yes,CCF
03/01/2025,4.88,Yes,CCF
03/02/2025,6.6,Yes,CCF
03/03/2025,6.6,Yes,CCF
03/04/2025,4.2,No,CCF
03/05/2025,2.62,No,CCF
03/06/2025,6.0,No,CCF
03/07/2025,5.42,Yes,CCF
03/08/2025,5.42,Yes,CCF
03/09/2025,3.42,No,CCF
03/10/2025,1.92,No,CCF
03/11/2025,3.3333,Yes,CCF
03/12/2025,3.3333,Yes,CCF
03/13/2025,3.3333,Yes,CCF
03/14/2025,2.02,No,CCF
03/15/2025,0.82,No,CCF
03/16/2025,1.84,No,CCF
03/17/2025,4.36,No,CCF
03/18/2025,2.34,No,CCF
03/19/2025,0.84,No,CCF
03/20/2025,3.14,No,CCF
03/21/2025,3.6,No,CCF
03/22/2025,3.86,No,CCF
03/23/2025,5.1,No,CCF
03/24/2025,4.245,Yes,CCF
03/25/2025,4.245,Yes,CCF
03/26/2025,4.245,Yes,CCF
03/27/2025,4.245,Yes,CCF
03/28/2025,1.62,No,CCF
03/29/2025,0.6,Yes,CCF
03/30/2025,0.6,Yes,CCF
03/31/2025,2.904,Yes,CCF
04/01/2025,2.904,Yes,CCF
04/02/2025,2.904,Yes,CCF
04/03/2025,2.904,Yes,CCF
04/04/2025,2.904,Yes,CCF
04/05/2025,2.86,No,CCF
04/06/2025,3.93,Yes,CCF
04/07/2025,3.93,Yes,CCF
04/08/2025,4.8467,Yes,CCF
04/09/2025,4.8467,Yes,CCF
04/10/2025,4.8467,Yes,CCF
04/11/2025,3.12,Yes,CCF
04/12/2025,3.12,Yes,CCF
04/13/2025,2.12,No,CCF
04/14/2025,1.06,No,CCF
04/15/2025,3.02,Yes,CCF
04/16/2025,3.02,Yes,CCF
04/17/2025,2.08,No,CCF
04/18/2025,0.7,No,CCF
04/19/2025,0.15,Yes,CCF
04/20/2025,0.15,Yes,CCF
04/21/2025,2.84,No,CCF
04/22/2025,1.16,No,CCF
04/23/2025,0.92,No,CCF
04/24/2025,0.26,No,CCF
04/25/2025,0.3,No,CCF
04/26/2025,0.61,Yes,CCF
04/27/2025,0.61,Yes,CCF
04/28/2025,0.92,No,CCF
04/29/2025,0.2,Yes,CCF
04/30/2025,0.2,Yes,CCF
05/01/2025,1.36,No,CCF
05/02/2025,0.4,No,CCF
05/03/2025,1.2733,Yes,CCF
05/04/2025,1.2733,Yes,CCF
05/05/2025,1.2733,Yes,CCF
05/06/2025,0.58,No,CCF
05/07/2025,0.46,No,CCF
05/08/2025,1.4333,Yes,CCF
05/09/2025,1.4333,Yes,CCF
05/10/2025,1.4333,Yes,CCF
05/11/2025,0.86,No,CCF
05/12/2025,1.02,No,CCF
05/13/2025,0.4267,Yes,CCF
05/14/2025,0.4267,Yes,CCF
05/15/2025,0.4267,Yes,CCF
05/16/2025,0.31,Yes,CCF
05/17/2025,0.31,Yes,CCF
05/18/2025,1.1267,Yes,CCF
05/19/2025,1.1267,Yes,CCF
05/20/2025,1.1267,Yes,CCF
05/21/2025,2.02,No,CCF
05/22/2025,1.78,No,CCF
05/23/2025,1.57,Yes,CCF
05/24/2025,1.57,Yes,CCF
05/25/2025,1.44,No,CCF
05/26/2025,1.18,No,CCF
05/27/2025,0.5267,Yes,CCF
05/28/2025,0.5267,Yes,CCF
05/29/2025,0.5267,Yes,CCF
05/30/2025,0.4,No,CCF
05/31/2025,0.9,Yes,CCF
06/01/2025,0.9,Yes,CCF
06/02/2025,1.2,No,CCF
06/03/2025,0.28,No,CCF
06/04/2025,0.4533,Yes,CCF
06/05/2025,0.4533,Yes,CCF
06/06/2025,0.4533,Yes,CCF
06/07/2025,0.46,No,CCF
06/08/2025,0.58,No,CCF
06/09/2025,0.47,Yes,CCF
06/10/2025,0.47,Yes,CCF
06/11/2025,0.34,No,CCF
06/12/2025,0.58,No,CCF
06/13/2025,0.5,No,CCF
06/14/2025,0.6,No,CCF
06/15/2025,0.44,No,CCF
06/16/2025,0.44,Yes,CCF
06/17/2025,0.44,Yes,CCF
06/18/2025,0.5,Yes,CCF
06/19/2025,0.5,Yes,CCF
06/20/2025,0.3,Yes,CCF
06/21/2025,0.3,Yes,CCF
06/22/2025,0.4,Yes,CCF
06/23/2025,0.4,Yes,CCF
06/24/2025,0.4,Yes,CCF
06/25/2025,0.44,Yes,CCF
06/26/2025,0.44,Yes,CCF
06/27/2025,0.54,No,CCF
06/28/2025,0.34,No,CCF
06/29/2025,0.44,No,CCF
06/30/2025,0.48,No,CCF
07/01/2025,0.36,Yes,CCF
07/02/2025,0.36,Yes,CCF
07/03/2025,0.26,No,CCF
07/04/2025,0.12,No,CCF
07/05/2025,0.12,No,CCF
07/06/2025,0.16,No,CCF
07/07/2025,0.14,No,CCF
07/08/2025,0.12,No,CCF
07/09/2025,0.14,No,CCF
07/10/2025,0.21,Yes,CCF
07/11/2025,0.21,Yes,CCF
07/12/2025,0.48,No,CCF
07/13/2025,0.3,No,CCF
07/14/2025,0.02,No,CCF
07/15/2025,0.52,Yes,CCF
07/16/2025,0.52,Yes,CCF
07/17/2025,0.52,Yes,CCF
07/18/2025,0.3,No,CCF
07/19/2025,0.38,Yes,CCF
07/20/2025,0.38,Yes,CCF
07/21/2025,0.38,No,CCF
07/22/2025,0.4,No,CCF
07/23/2025,0.345,Yes,CCF
07/24/2025,0.345,Yes,CCF
07/25/2025,0.345,Yes,CCF
07/26/2025,0.345,Yes,CCF
07/27/2025,0.42,No,CCF
07/28/2025,0.45,Yes,CCF
07/29/2025,0.45,Yes,CCF
07/30/2025,0.36,No,CCF
07/31/2025,0.41,Yes,CCF
08/01/2025,0.41,Yes,CCF
08/02/2025,0.2,No,CCF
08/03/2025,0.44,No,CCF
08/04/2025,0.3133,Yes,CCF
08/05/2025,0.3133,Yes,CCF
08/06/2025,0.3133,Yes,CCF
08/07/2025,0.12,No,CCF
08/08/2025,0.28,No,CCF
08/09/2025,0.3467,Yes,CCF
08/10/2025,0.3467,Yes,CCF
08/11/2025,0.3467,Yes,CCF
08/12/2025,0.34,Yes,CCF
08/13/2025,0.34,Yes,CCF
08/14/2025,0.32,No,CCF
08/15/2025,0.4133,Yes,CCF
08/16/2025,0.4133,Yes,CCF
08/17/2025,0.4133,Yes,CCF
08/18/2025,0.52,No,CCF
08/19/2025,0.32,No,CCF
08/20/2025,0.39,Yes,CCF
08/21/2025,0.39,Yes,CCF
08/22/2025,0.45,Yes,CCF
08/23/2025,0.45,Yes,CCF
08/24/2025,0.4,No,CCF
08/25/2025,0.37,Yes,CCF
08/26/2025,0.37,Yes,CCF
08/27/2025,0.3867,Yes,CCF
08/28/2025,0.3867,Yes,CCF
08/29/2025,0.3867,Yes,CCF
08/30/2025,0.1667,Yes,CCF
08/31/2025,0.1667,Yes,CCF
09/01/2025,0.1667,Yes,CCF
09/02/2025,0.5,No,CCF
09/03/2025,0.48,No,CCF
09/04/2025,0.4,No,CCF
09/05/2025,0.47,Yes,CCF
09/06/2025,0.47,Yes,CCF
09/07/2025,0.58,Yes,CCF
09/08/2025,0.58,Yes,CCF
09/09/2025,0.58,No,CCF
09/10/2025,0.38,No,CCF
09/11/2025,0.32,Yes,CCF
09/12/2025,0.32,Yes,CCF
09/13/2025,0.5,No,CCF
09/14/2025,0.44,Yes,CCF
09/15/2025,0.44,Yes,CCF
09/16/2025,0.44,Yes,CCF
09/17/2025,0.52,No,CCF
09/18/2025,0.46,No,CCF
09/19/2025,0.44,Yes,CCF
09/20/2025,0.44,Yes,CCF
09/21/2025,0.47,Yes,CCF
09/22/2025,0.47,Yes,CCF
09/23/2025,0.3,No,CCF
09/24/2025,0.54,No,CCF
09/25/2025,0.26,Yes,CCF
09/26/2025,0.26,Yes,CCF
09/27/2025,0.14,No,CCF
09/28/2025,0.25,Yes,CCF
09/29/2025,0.25,Yes,CCF
09/30/2025,0.62,No,CCF
10/01/2025,0.5,No,CCF
10/02/2025,0.48,No,CCF
10/03/2025,0.36,No,CCF
10/04/2025,0.49,Yes,CCF
10/05/2025,0.49,Yes,CCF
10/06/2025,0.6267,Yes,CCF
10/07/2025,0.6267,Yes,CCF
10/08/2025,0.6267,Yes,CCF
10/09/2025,0.7,No,CCF
10/10/2025,0.8933,Yes,CCF
10/11/2025,0.8933,Yes,CCF
10/12/2025,0.8933,Yes,CCF
10/13/2025,0.64,No,CCF
10/14/2025,0.49,Yes,CCF
10/15/2025,0.49,Yes,CCF
10/16/2025,0.94,No,CCF
10/17/2025,1.14,No,CCF
10/18/2025,0.66,No,CCF
10/19/2025,1.2286,Yes,CCF
10/20/2025,1.2286,Yes,CCF
10/21/2025,1.2286,Yes,CCF
10/22/2025,1.2286,Yes,CCF
10/23/2025,1.2286,Yes,CCF
10/24/2025,1.2286,Yes,CCF
10/25/2025,1.2286,Yes,CCF
10/26/2025,1.66,No,CCF
10/27/2025,1.38,Yes,CCF
10/28/2025,1.38,Yes,CCF
10/29/2025,1.38,Yes,CCF
10/30/2025,1.38,Yes,CCF
10/31/2025,1.38,Yes,CCF
11/01/2025,1.588,Yes,CCF
11/02/2025,1.588,Yes,CCF
11/03/2025,1.588,Yes,CCF
11/04/2025,1.588,Yes,CCF
11/05/2025,1.588,Yes,CCF
11/06/2025,2.46,No,CCF
11/07/2025,1.42,No,CCF
11/08/2025,2.44,No,CCF
11/09/2025,5.12,No,CCF
11/10/2025,6.0,No,CCF
11/11/2025,6.1,No,CCF
11/12/2025,2.82,Yes,CCF
11/13/2025,2.82,Yes,CCF
11/14/2025,2.26,No,CCF
11/15/2025,2.3667,Yes,CCF
11/16/2025,2.3667,Yes,CCF
11/17/2025,2.3667,Yes,CCF
11/18/2025,3.75,Yes,CCF
11/19/2025,3.75,Yes,CCF
11/20/2025,2.88,No,CCF
11/21/2025,1.4,No,CCF
11/22/2025,2.92,No,CCF
11/23/2025,2.02,No,CCF
11/24/2025,3.42,No,CCF
11/25/2025,1.46,No,CCF
11/26/2025,3.06,No,CCF
11/27/2025,5.34,No,CCF
11/28/2025,6.02,No,CCF
11/29/2025,6.02,No,CCF
11/30/2025,5.72,No,CCF
12/01/2025,6.64,No,CCF
12/02/2025,6.08,No,CCF
12/03/2025,7.04,No,CCF
12/04/2025,7.28,No,CCF
12/05/2025,7.044,Yes,CCF
12/06/2025,7.044,Yes,CCF
12/07/2025,7.044,Yes,CCF
12/08/2025,7.044,Yes,CCF
12/09/2025,7.044,Yes,CCF
12/10/2025,4.92,No,CCF
12/11/2025,6.78,No,CCF
12/12/2025,6.42,No,CCF
12/13/2025,8.39,Yes,CCF
12/14/2025,8.39,Yes,CCF
12/15/2025,8.46,No,CCF
12/16/2025,6.86,No,CCF
12/17/2025,4.66,No,CCF
12/18/2025,5.4467,Yes,CCF
12/19/2025,5.4467,Yes,CCF
12/20/2025,5.4467,Yes,CCF
12/21/2025,7.12,No,CCF
12/22/2025,5.04,No,CCF
12/23/2025,1.68,No,CCF
12/24/2025,3.76,No,CCF
12/25/2025,3.32,No,CCF
12/26/2025,5.66,No,CCF
12/27/2025,4.88,Yes,CCF
12/28/2025,4.88,Yes,CCF
12/29/2025,6.24,No,CCF
12/30/2025,7.94,Yes,CCF
12/31/2025,7.94,Yes,CCF
